gs_text34,iso3,GBD_weight,age,sex
Encephalitis,USA,0.0008421,0,1
Falls,USA,0.0018762,0,1
Fires,USA,0.005923,0,1
Hemorrhagic fever,USA,0.0000484,0,1
Malaria,USA,0,0,1
Measles,USA,0.0001848,0,1
Meningitis,USA,0.0142515,0,1
Other Cancers,USA,0.0077565,0,1
Other Cardiovascular Diseases,USA,0.0470863,0,1
Other Defined Causes of Child Deaths,USA,0.8002904,0,1
Other Digestive Diseases,USA,0,0,1
Other Infectious Diseases,USA,0.0298066,0,1
Pneumonia,USA,0.0363232,0,1
Poisonings,USA,0.0010148,0,1
Road Traffic,USA,0.0129361,0,1
Sepsis,USA,0.0005981,0,1
Violent Death,USA,0.0277031,0,1
AIDS,USA,0.004192,5,0
Bite of Venomous Animal,USA,0.0020571,5,0
Diarrhea/Dysentery,USA,0.0022077,5,0
Drowning,USA,0.0716708,5,0
Encephalitis,USA,0.0011473,5,0
Falls,USA,0.0078771,5,0
Fires,USA,0.0513656,5,0
Hemorrhagic fever,USA,0.0001896,5,0
Malaria,USA,0,5,0
Measles,USA,0.0001756,5,0
Meningitis,USA,0.0117465,5,0
Other Cancers,USA,0.219226,5,0
Other Cardiovascular Diseases,USA,0.0506158,5,0
Other Defined Causes of Child Deaths,USA,0.2765531,5,0
Other Digestive Diseases,USA,0.0131272,5,0
Other Infectious Diseases,USA,0.0163925,5,0
Pneumonia,USA,0.021788,5,0
Poisonings,USA,0.0035758,5,0
Road Traffic,USA,0.1992852,5,0
Sepsis,USA,0.0003552,5,0
Violent Death,USA,0.046452,5,0
AIDS,USA,0.0042618,5,1
Bite of Venomous Animal,USA,0.0014335,5,1
Diarrhea/Dysentery,USA,0.002442,5,1
Drowning,USA,0.0372238,5,1
Encephalitis,USA,0.001308,5,1
Falls,USA,0.0054526,5,1
Fires,USA,0.057931,5,1
Hemorrhagic fever,USA,0.0005843,5,1
Malaria,USA,0,5,1
Measles,USA,0.0002936,5,1
Meningitis,USA,0.0133917,5,1
Other Cancers,USA,0.2293946,5,1
Other Cardiovascular Diseases,USA,0.0572395,5,1
Other Defined Causes of Child Deaths,USA,0.282211,5,1
Other Digestive Diseases,USA,0.0144055,5,1
Other Infectious Diseases,USA,0.017228,5,1
Pneumonia,USA,0.0265298,5,1
Poisonings,USA,0.0053289,5,1
Road Traffic,USA,0.1841325,5,1
Sepsis,USA,0.0004938,5,1
Violent Death,USA,0.0587141,5,1
AIDS,URY,0.0610555,1,0
Bite of Venomous Animal,URY,0.0022941,1,0
Diarrhea/Dysentery,URY,0.0163502,1,0
Drowning,URY,0.0863644,1,0
Encephalitis,URY,0.0006522,1,0
Falls,URY,0.006919,1,0
Fires,URY,0.0441092,1,0
Hemorrhagic fever,URY,0.0035436,1,0
Malaria,URY,0,1,0
Measles,URY,0.0013105,1,0
Meningitis,URY,0.0319492,1,0
Other Cancers,URY,0.1054819,1,0
Other Cardiovascular Diseases,URY,0.0243383,1,0
Other Defined Causes of Child Deaths,URY,0.3775327,1,0
Other Digestive Diseases,URY,0.0096844,1,0
Other Infectious Diseases,URY,0.0782219,1,0
Pneumonia,URY,0.0816931,1,0
Poisonings,URY,0.0083987,1,0
Road Traffic,URY,0.0384075,1,0
Sepsis,URY,0.0012715,1,0
Violent Death,URY,0.0204221,1,0
AIDS,URY,0.0563725,1,1
Bite of Venomous Animal,URY,0.0014116,1,1
Diarrhea/Dysentery,URY,0.0232033,1,1
Drowning,URY,0.0293215,1,1
Encephalitis,URY,0.0007222,1,1
Falls,URY,0.0067166,1,1
Fires,URY,0.0407133,1,1
Hemorrhagic fever,URY,0.0024923,1,1
Malaria,URY,0,1,1
Measles,URY,0.0012819,1,1
Meningitis,URY,0.0353776,1,1
Other Cancers,URY,0.087402,1,1
Other Cardiovascular Diseases,URY,0.03482,1,1
Other Defined Causes of Child Deaths,URY,0.4200296,1,1
Other Digestive Diseases,URY,0.0111923,1,1
Other Infectious Diseases,URY,0.0802198,1,1
Pneumonia,URY,0.0924032,1,1
Poisonings,URY,0.0153895,1,1
Road Traffic,URY,0.0349169,1,1
Sepsis,URY,0.0023244,1,1
Violent Death,URY,0.0236893,1,1
AIDS,URY,0.012318,10,0
Bite of Venomous Animal,URY,0.0017912,10,0
Diarrhea/Dysentery,URY,0.0026663,10,0
Drowning,URY,0.1468094,10,0
Encephalitis,URY,0.0003652,10,0
Falls,URY,0.0058942,10,0
Fires,URY,0.0126051,10,0
Hemorrhagic fever,URY,0.0016142,10,0
Malaria,URY,0,10,0
Measles,URY,0.0018447,10,0
Meningitis,URY,0.0129337,10,0
Other Cancers,URY,0.1810367,10,0
Other Cardiovascular Diseases,URY,0.0362723,10,0
Other Defined Causes of Child Deaths,URY,0.3397501,10,0
Other Digestive Diseases,URY,0.0110818,10,0
Other Infectious Diseases,URY,0.0560624,10,0
Pneumonia,URY,0.0166406,10,0
Poisonings,URY,0.0055231,10,0
Road Traffic,URY,0.1158809,10,0
Sepsis,URY,0.0030339,10,0
Violent Death,URY,0.0358761,10,0
AIDS,URY,0.0125772,10,1
Bite of Venomous Animal,URY,0.0014404,10,1
Diarrhea/Dysentery,URY,0.0033614,10,1
Drowning,URY,0.0459632,10,1
Encephalitis,URY,0.0007943,10,1
Falls,URY,0.0062567,10,1
Fires,URY,0.0117045,10,1
Hemorrhagic fever,URY,0.0014007,10,1
Malaria,URY,0,10,1
Measles,URY,0.0030768,10,1
Meningitis,URY,0.0281295,10,1
Other Cancers,URY,0.180077,10,1
Other Cardiovascular Diseases,URY,0.0603541,10,1
Other Defined Causes of Child Deaths,URY,0.3889502,10,1
Other Digestive Diseases,URY,0.0159293,10,1
Other Infectious Diseases,URY,0.0739976,10,1
Pneumonia,URY,0.0215695,10,1
Poisonings,URY,0.007257,10,1
Road Traffic,URY,0.0958889,10,1
Sepsis,URY,0.0031477,10,1
Violent Death,URY,0.0381238,10,1
AIDS,URY,0.005122,0,0
Bite of Venomous Animal,URY,0.0002437,0,0
Diarrhea/Dysentery,URY,0.0491348,0,0
Drowning,URY,0.0019387,0,0
Encephalitis,URY,0.0008234,0,0
Falls,URY,0.0016463,0,0
Fires,URY,0.0097855,0,0
Hemorrhagic fever,URY,0.0015359,0,0
Malaria,URY,0,0,0
Measles,URY,0.0005905,0,0
Meningitis,URY,0.0419419,0,0
Other Cancers,URY,0.0092463,0,0
Other Cardiovascular Diseases,URY,0.0200266,0,0
Other Defined Causes of Child Deaths,URY,0.6474942,0,0
Other Digestive Diseases,URY,0,0,0
Other Infectious Diseases,URY,0.0363347,0,0
Pneumonia,URY,0.1549566,0,0
Poisonings,URY,0.0011217,0,0
Road Traffic,URY,0.0101877,0,0
Sepsis,URY,0.0018262,0,0
Violent Death,URY,0.0060433,0,0
AIDS,URY,0.0042808,0,1
Bite of Venomous Animal,URY,0.0002144,0,1
Diarrhea/Dysentery,URY,0.0488094,0,1
Drowning,URY,0.0006954,0,1
Encephalitis,URY,0.0006464,0,1
Falls,URY,0.001517,0,1
Fires,URY,0.0080128,0,1
Hemorrhagic fever,URY,0.0005051,0,1
Malaria,URY,0,0,1
Measles,URY,0.0005877,0,1
Meningitis,URY,0.0329247,0,1
Other Cancers,URY,0.008719,0,1
Other Cardiovascular Diseases,URY,0.0196046,0,1
Other Defined Causes of Child Deaths,URY,0.6839309,0,1
Other Digestive Diseases,URY,0,0,1
Other Infectious Diseases,URY,0.0332649,0,1
Pneumonia,URY,0.1400776,0,1
Poisonings,URY,0.0015256,0,1
Road Traffic,URY,0.0066968,0,1
Sepsis,URY,0.0022034,0,1
Violent Death,URY,0.0057834,0,1
AIDS,URY,0.0180351,5,0
Bite of Venomous Animal,URY,0.0023995,5,0
Diarrhea/Dysentery,URY,0.0034311,5,0
Drowning,URY,0.0709009,5,0
Encephalitis,URY,0.0006104,5,0
Falls,URY,0.0074598,5,0
Fires,URY,0.0322983,5,0
Hemorrhagic fever,URY,0.0031316,5,0
Malaria,URY,0,5,0
Measles,URY,0.0027162,5,0
Meningitis,URY,0.0254865,5,0
Other Cancers,URY,0.2225915,5,0
Other Cardiovascular Diseases,URY,0.0321845,5,0
Other Defined Causes of Child Deaths,URY,0.2888228,5,0
Other Digestive Diseases,URY,0.01205,5,0
Other Infectious Diseases,URY,0.0859192,5,0
Pneumonia,URY,0.0213632,5,0
Poisonings,URY,0.0063647,5,0
Road Traffic,URY,0.141642,5,0
Sepsis,URY,0.0011834,5,0
Violent Death,URY,0.0214092,5,0
AIDS,URY,0.0184956,5,1
Bite of Venomous Animal,URY,0.002028,5,1
Diarrhea/Dysentery,URY,0.004194,5,1
Drowning,URY,0.0257248,5,1
Encephalitis,URY,0.0005894,5,1
Falls,URY,0.0066027,5,1
Fires,URY,0.0254451,5,1
Hemorrhagic fever,URY,0.0025021,5,1
Malaria,URY,0,5,1
Measles,URY,0.0041687,5,1
Meningitis,URY,0.0246107,5,1
Other Cancers,URY,0.1905085,5,1
Other Cardiovascular Diseases,URY,0.0585656,5,1
Other Defined Causes of Child Deaths,URY,0.3480273,5,1
Other Digestive Diseases,URY,0.013825,5,1
Other Infectious Diseases,URY,0.0875413,5,1
Pneumonia,URY,0.042723,5,1
Poisonings,URY,0.0073226,5,1
Road Traffic,URY,0.1108084,5,1
Sepsis,URY,0.0054786,5,1
Violent Death,URY,0.0208386,5,1
AIDS,UKR,0.024038,1,0
Bite of Venomous Animal,UKR,0.001625,1,0
Diarrhea/Dysentery,UKR,0.0162621,1,0
Drowning,UKR,0.1120537,1,0
Encephalitis,UKR,0.0059215,1,0
Falls,UKR,0.0214992,1,0
Fires,UKR,0.0482237,1,0
Hemorrhagic fever,UKR,0.0014216,1,0
Malaria,UKR,0,1,0
Measles,UKR,0.0012853,1,0
Meningitis,UKR,0.0104104,1,0
Other Cancers,UKR,0.0824004,1,0
Other Cardiovascular Diseases,UKR,0.0071206,1,0
Other Defined Causes of Child Deaths,UKR,0.3956589,1,0
Other Digestive Diseases,UKR,0.0113605,1,0
Other Infectious Diseases,UKR,0.0265728,1,0
Pneumonia,UKR,0.0916575,1,0
Poisonings,UKR,0.0676972,1,0
Road Traffic,UKR,0.0624315,1,0
Sepsis,UKR,0.0002939,1,0
Violent Death,UKR,0.0120663,1,0
AIDS,UKR,0.0314003,1,1
Bite of Venomous Animal,UKR,0.0016864,1,1
Diarrhea/Dysentery,UKR,0.0181573,1,1
Drowning,UKR,0.0625052,1,1
Encephalitis,UKR,0.0065424,1,1
Falls,UKR,0.0220358,1,1
Fires,UKR,0.0587117,1,1
Hemorrhagic fever,UKR,0.002067,1,1
Malaria,UKR,0,1,1
Measles,UKR,0.0014747,1,1
Meningitis,UKR,0.0115021,1,1
Other Cancers,UKR,0.0824763,1,1
Other Cardiovascular Diseases,UKR,0.0089982,1,1
Other Defined Causes of Child Deaths,UKR,0.4326699,1,1
Other Digestive Diseases,UKR,0.0080094,1,1
Other Infectious Diseases,UKR,0.0277027,1,1
Pneumonia,UKR,0.0824594,1,1
Poisonings,UKR,0.0605419,1,1
Road Traffic,UKR,0.064624,1,1
Sepsis,UKR,0.0005098,1,1
Violent Death,UKR,0.0159256,1,1
AIDS,UKR,0.025845,10,0
Bite of Venomous Animal,UKR,0.0038217,10,0
Diarrhea/Dysentery,UKR,0.0025262,10,0
Drowning,UKR,0.1607156,10,0
Encephalitis,UKR,0.0029101,10,0
Falls,UKR,0.026033,10,0
Fires,UKR,0.0126094,10,0
Hemorrhagic fever,UKR,0.001071,10,0
Malaria,UKR,0,10,0
Measles,UKR,0.0004583,10,0
Meningitis,UKR,0.0042785,10,0
Other Cancers,UKR,0.1423838,10,0
Other Cardiovascular Diseases,UKR,0.0212848,10,0
Other Defined Causes of Child Deaths,UKR,0.3794548,10,0
Other Digestive Diseases,UKR,0.0071205,10,0
Other Infectious Diseases,UKR,0.0097657,10,0
Pneumonia,UKR,0.0217952,10,0
Poisonings,UKR,0.0245951,10,0
Road Traffic,UKR,0.1352613,10,0
Sepsis,UKR,0.0003665,10,0
Violent Death,UKR,0.0177036,10,0
AIDS,UKR,0.0476118,10,1
Bite of Venomous Animal,UKR,0.0012017,10,1
Diarrhea/Dysentery,UKR,0.0021428,10,1
Drowning,UKR,0.1161572,10,1
Encephalitis,UKR,0.0030973,10,1
Falls,UKR,0.0112465,10,1
Fires,UKR,0.0121188,10,1
Hemorrhagic fever,UKR,0.0014583,10,1
Malaria,UKR,0,10,1
Measles,UKR,0.0006344,10,1
Meningitis,UKR,0.0045538,10,1
Other Cancers,UKR,0.190894,10,1
Other Cardiovascular Diseases,UKR,0.0307651,10,1
Other Defined Causes of Child Deaths,UKR,0.3272142,10,1
Other Digestive Diseases,UKR,0.0087266,10,1
Other Infectious Diseases,UKR,0.0130058,10,1
Pneumonia,UKR,0.028483,10,1
Poisonings,UKR,0.0308551,10,1
Road Traffic,UKR,0.1297364,10,1
Sepsis,UKR,0.0009057,10,1
Violent Death,UKR,0.0391915,10,1
AIDS,UKR,0.0044683,0,0
Bite of Venomous Animal,UKR,0.0003949,0,0
Diarrhea/Dysentery,UKR,0.0468939,0,0
Drowning,UKR,0.0031246,0,0
Encephalitis,UKR,0.0181633,0,0
Falls,UKR,0.0111465,0,0
Fires,UKR,0.0051954,0,0
Hemorrhagic fever,UKR,0.0008571,0,0
Malaria,UKR,0,0,0
Measles,UKR,0.0006511,0,0
Meningitis,UKR,0.0327027,0,0
Other Cancers,UKR,0.0191802,0,0
Other Cardiovascular Diseases,UKR,0.0129068,0,0
Other Defined Causes of Child Deaths,UKR,0.6298189,0,0
Other Digestive Diseases,UKR,0,0,0
Other Infectious Diseases,UKR,0.0527912,0,0
Pneumonia,UKR,0.1326068,0,0
Poisonings,UKR,0.006129,0,0
Road Traffic,UKR,0.0081393,0,0
Sepsis,UKR,0.0003036,0,0
Violent Death,UKR,0.0145264,0,0
AIDS,UKR,0.0054756,0,1
Bite of Venomous Animal,UKR,0.0008117,0,1
Diarrhea/Dysentery,UKR,0.0436126,0,1
Drowning,UKR,0.0022307,0,1
Encephalitis,UKR,0.0176071,0,1
Falls,UKR,0.0082263,0,1
Fires,UKR,0.0059672,0,1
Hemorrhagic fever,UKR,0.0007236,0,1
Malaria,UKR,0,0,1
Measles,UKR,0.0007591,0,1
Meningitis,UKR,0.0317011,0,1
Other Cancers,UKR,0.0215645,0,1
Other Cardiovascular Diseases,UKR,0.0111213,0,1
Other Defined Causes of Child Deaths,UKR,0.6650609,0,1
Other Digestive Diseases,UKR,0,0,1
Other Infectious Diseases,UKR,0.0488371,0,1
Pneumonia,UKR,0.1092801,0,1
Poisonings,UKR,0.0051025,0,1
Road Traffic,UKR,0.007083,0,1
Sepsis,UKR,0.0005535,0,1
Violent Death,UKR,0.0142819,0,1
AIDS,UKR,0.04245,5,0
Bite of Venomous Animal,UKR,0.0026023,5,0
Diarrhea/Dysentery,UKR,0.0036197,5,0
Drowning,UKR,0.2237561,5,0
Encephalitis,UKR,0.0028978,5,0
Falls,UKR,0.0184222,5,0
Fires,UKR,0.0221322,5,0
Hemorrhagic fever,UKR,0.0016071,5,0
Malaria,UKR,0,5,0
Measles,UKR,0.0006645,5,0
Meningitis,UKR,0.0046452,5,0
Other Cancers,UKR,0.1566291,5,0
Other Cardiovascular Diseases,UKR,0.0120114,5,0
Other Defined Causes of Child Deaths,UKR,0.2820882,5,0
Other Digestive Diseases,UKR,0.0055317,5,0
Other Infectious Diseases,UKR,0.0121106,5,0
Pneumonia,UKR,0.0273067,5,0
Poisonings,UKR,0.0264506,5,0
Road Traffic,UKR,0.1431311,5,0
Sepsis,UKR,0.0002675,5,0
Violent Death,UKR,0.0116759,5,0
AIDS,UKR,0.0688475,5,1
Bite of Venomous Animal,UKR,0.001456,5,1
Diarrhea/Dysentery,UKR,0.0043981,5,1
Drowning,UKR,0.1013906,5,1
Encephalitis,UKR,0.0034981,5,1
Falls,UKR,0.0169489,5,1
Fires,UKR,0.0246894,5,1
Hemorrhagic fever,UKR,0.0028598,5,1
Malaria,UKR,0,5,1
Measles,UKR,0.0008082,5,1
Meningitis,UKR,0.0056075,5,1
Other Cancers,UKR,0.1925121,5,1
Other Cardiovascular Diseases,UKR,0.0163671,5,1
Other Defined Causes of Child Deaths,UKR,0.3035059,5,1
Other Digestive Diseases,UKR,0.0043054,5,1
Other Infectious Diseases,UKR,0.0152948,5,1
Pneumonia,UKR,0.0392332,5,1
Poisonings,UKR,0.0391858,5,1
Road Traffic,UKR,0.1205693,5,1
Sepsis,UKR,0.0004826,5,1
Violent Death,UKR,0.0380395,5,1
AIDS,UGA,0.151978,1,0
Bite of Venomous Animal,UGA,0.0024635,1,0
Diarrhea/Dysentery,UGA,0.0309934,1,0
Drowning,UGA,0.016305,1,0
Encephalitis,UGA,0.0049549,1,0
Falls,UGA,0.0136068,1,0
Fires,UGA,0.0360486,1,0
Hemorrhagic fever,UGA,0.0003082,1,0
Malaria,UGA,0.3307948,1,0
Measles,UGA,0.0220838,1,0
Meningitis,UGA,0.0840719,1,0
Other Cancers,UGA,0.0048563,1,0
Other Cardiovascular Diseases,UGA,0.0080401,1,0
Other Defined Causes of Child Deaths,UGA,0.1061539,1,0
Other Digestive Diseases,UGA,0.0082171,1,0
Other Infectious Diseases,UGA,0.0929757,1,0
Pneumonia,UGA,0.057909,1,0
Poisonings,UGA,0.0053418,1,0
Road Traffic,UGA,0.0154629,1,0
Sepsis,UGA,0.0025473,1,0
Violent Death,UGA,0.0048867,1,0
AIDS,UGA,0.1854435,1,1
Bite of Venomous Animal,UGA,0.0057479,1,1
Diarrhea/Dysentery,UGA,0.0326614,1,1
Drowning,UGA,0.0136401,1,1
Encephalitis,UGA,0.0046986,1,1
Falls,UGA,0.0081368,1,1
Fires,UGA,0.0296592,1,1
Hemorrhagic fever,UGA,0.0002045,1,1
Malaria,UGA,0.3333295,1,1
Measles,UGA,0.0279601,1,1
Meningitis,UGA,0.0797231,1,1
Other Cancers,UGA,0.0047954,1,1
Other Cardiovascular Diseases,UGA,0.0075942,1,1
Other Defined Causes of Child Deaths,UGA,0.1025236,1,1
Other Digestive Diseases,UGA,0.0054744,1,1
Other Infectious Diseases,UGA,0.0820249,1,1
Pneumonia,UGA,0.0519643,1,1
Poisonings,UGA,0.0052553,1,1
Road Traffic,UGA,0.0115459,1,1
Sepsis,UGA,0.0024544,1,1
Violent Death,UGA,0.005163,1,1
AIDS,UGA,0.4214257,10,0
Bite of Venomous Animal,UGA,0.006018,10,0
Diarrhea/Dysentery,UGA,0.0281124,10,0
Drowning,UGA,0.0202521,10,0
Encephalitis,UGA,0.0029133,10,0
Falls,UGA,0.0138331,10,0
Fires,UGA,0.0141353,10,0
Hemorrhagic fever,UGA,0.0003526,10,0
Malaria,UGA,0.1181523,10,0
Measles,UGA,0.0043881,10,0
Meningitis,UGA,0.0260232,10,0
Other Cancers,UGA,0.0360859,10,0
Other Cardiovascular Diseases,UGA,0.0106177,10,0
Other Defined Causes of Child Deaths,UGA,0.1199313,10,0
Other Digestive Diseases,UGA,0.0047197,10,0
Other Infectious Diseases,UGA,0.0844168,10,0
Pneumonia,UGA,0.0276306,10,0
Poisonings,UGA,0.006241,10,0
Road Traffic,UGA,0.0430595,10,0
Sepsis,UGA,0.0014239,10,0
Violent Death,UGA,0.0102675,10,0
AIDS,UGA,0.4533986,10,1
Bite of Venomous Animal,UGA,0.0055563,10,1
Diarrhea/Dysentery,UGA,0.0320639,10,1
Drowning,UGA,0.0145265,10,1
Encephalitis,UGA,0.0023589,10,1
Falls,UGA,0.0067012,10,1
Fires,UGA,0.011304,10,1
Hemorrhagic fever,UGA,0.0002043,10,1
Malaria,UGA,0.1642876,10,1
Measles,UGA,0.0055067,10,1
Meningitis,UGA,0.0210714,10,1
Other Cancers,UGA,0.0207235,10,1
Other Cardiovascular Diseases,UGA,0.012471,10,1
Other Defined Causes of Child Deaths,UGA,0.0887548,10,1
Other Digestive Diseases,UGA,0.0035081,10,1
Other Infectious Diseases,UGA,0.0810159,10,1
Pneumonia,UGA,0.0308455,10,1
Poisonings,UGA,0.005029,10,1
Road Traffic,UGA,0.032354,10,1
Sepsis,UGA,0.0008599,10,1
Violent Death,UGA,0.0074591,10,1
AIDS,UGA,0.0493483,0,0
Bite of Venomous Animal,UGA,0.001229,0,0
Diarrhea/Dysentery,UGA,0.0730973,0,0
Drowning,UGA,0.0036292,0,0
Encephalitis,UGA,0.0074031,0,0
Falls,UGA,0.0061127,0,0
Fires,UGA,0.0130089,0,0
Hemorrhagic fever,UGA,0.000254,0,0
Malaria,UGA,0.2069008,0,0
Measles,UGA,0.0125962,0,0
Meningitis,UGA,0.1343569,0,0
Other Cancers,UGA,0.0020953,0,0
Other Cardiovascular Diseases,UGA,0.0060699,0,0
Other Defined Causes of Child Deaths,UGA,0.1912649,0,0
Other Digestive Diseases,UGA,0,0,0
Other Infectious Diseases,UGA,0.137712,0,0
Pneumonia,UGA,0.139372,0,0
Poisonings,UGA,0.002614,0,0
Road Traffic,UGA,0.0050823,0,0
Sepsis,UGA,0.0059777,0,0
Violent Death,UGA,0.0018756,0,0
AIDS,UGA,0.0554524,0,1
Bite of Venomous Animal,UGA,0.0037478,0,1
Diarrhea/Dysentery,UGA,0.0757526,0,1
Drowning,UGA,0.0026626,0,1
Encephalitis,UGA,0.0076835,0,1
Falls,UGA,0.0037065,0,1
Fires,UGA,0.0113969,0,1
Hemorrhagic fever,UGA,0.0001212,0,1
Malaria,UGA,0.2083828,0,1
Measles,UGA,0.0132946,0,1
Meningitis,UGA,0.1396275,0,1
Other Cancers,UGA,0.0025912,0,1
Other Cardiovascular Diseases,UGA,0.0068066,0,1
Other Defined Causes of Child Deaths,UGA,0.1833907,0,1
Other Digestive Diseases,UGA,0,0,1
Other Infectious Diseases,UGA,0.1425618,0,1
Pneumonia,UGA,0.130347,0,1
Poisonings,UGA,0.0025393,0,1
Road Traffic,UGA,0.0041787,0,1
Sepsis,UGA,0.0035892,0,1
Violent Death,UGA,0.0021669,0,1
AIDS,UGA,0.2543122,5,0
Bite of Venomous Animal,UGA,0.0074533,5,0
Diarrhea/Dysentery,UGA,0.0595364,5,0
Drowning,UGA,0.0200572,5,0
Encephalitis,UGA,0.0028982,5,0
Falls,UGA,0.0137171,5,0
Fires,UGA,0.0205322,5,0
Hemorrhagic fever,UGA,0.0006243,5,0
Malaria,UGA,0.1656168,5,0
Measles,UGA,0.0162254,5,0
Meningitis,UGA,0.036468,5,0
Other Cancers,UGA,0.0395667,5,0
Other Cardiovascular Diseases,UGA,0.0092607,5,0
Other Defined Causes of Child Deaths,UGA,0.1301601,5,0
Other Digestive Diseases,UGA,0.0056272,5,0
Other Infectious Diseases,UGA,0.117137,5,0
Pneumonia,UGA,0.0415226,5,0
Poisonings,UGA,0.0044942,5,0
Road Traffic,UGA,0.046613,5,0
Sepsis,UGA,0.0015076,5,0
Violent Death,UGA,0.0066698,5,0
AIDS,UGA,0.2800827,5,1
Bite of Venomous Animal,UGA,0.0063429,5,1
Diarrhea/Dysentery,UGA,0.0688352,5,1
Drowning,UGA,0.0166268,5,1
Encephalitis,UGA,0.0020095,5,1
Falls,UGA,0.0084301,5,1
Fires,UGA,0.0251978,5,1
Hemorrhagic fever,UGA,0.0004378,5,1
Malaria,UGA,0.2237766,5,1
Measles,UGA,0.0195727,5,1
Meningitis,UGA,0.0252858,5,1
Other Cancers,UGA,0.0283848,5,1
Other Cardiovascular Diseases,UGA,0.0096054,5,1
Other Defined Causes of Child Deaths,UGA,0.0966415,5,1
Other Digestive Diseases,UGA,0.0041309,5,1
Other Infectious Diseases,UGA,0.10867,5,1
Pneumonia,UGA,0.0379424,5,1
Poisonings,UGA,0.0041655,5,1
Road Traffic,UGA,0.0258543,5,1
Sepsis,UGA,0.0009423,5,1
Violent Death,UGA,0.0070649,5,1
AIDS,TZA,0.1544886,1,0
Bite of Venomous Animal,TZA,0.0023808,1,0
Diarrhea/Dysentery,TZA,0.0414562,1,0
Drowning,TZA,0.0221373,1,0
Encephalitis,TZA,0.0006869,1,0
Falls,TZA,0.0048413,1,0
Fires,TZA,0.031613,1,0
Hemorrhagic fever,TZA,0.0004103,1,0
Malaria,TZA,0.3410714,1,0
Measles,TZA,0.0071509,1,0
Meningitis,TZA,0.0116546,1,0
Other Cancers,TZA,0.0040589,1,0
Other Cardiovascular Diseases,TZA,0.0085799,1,0
Other Defined Causes of Child Deaths,TZA,0.1250362,1,0
Other Digestive Diseases,TZA,0.0082076,1,0
Other Infectious Diseases,TZA,0.0886071,1,0
Pneumonia,TZA,0.1100723,1,0
Poisonings,TZA,0.0093764,1,0
Road Traffic,TZA,0.021106,1,0
Sepsis,TZA,0.0032513,1,0
Violent Death,TZA,0.0038131,1,0
AIDS,TZA,0.1884294,1,1
Bite of Venomous Animal,TZA,0.0050201,1,1
Diarrhea/Dysentery,TZA,0.0452728,1,1
Drowning,TZA,0.0165919,1,1
Encephalitis,TZA,0.000839,1,1
Falls,TZA,0.0027331,1,1
Fires,TZA,0.0216755,1,1
Hemorrhagic fever,TZA,0.0003023,1,1
Malaria,TZA,0.33013,1,1
Measles,TZA,0.009014,1,1
Meningitis,TZA,0.0142364,1,1
Other Cancers,TZA,0.0036265,1,1
Other Cardiovascular Diseases,TZA,0.0098256,1,1
Other Defined Causes of Child Deaths,TZA,0.1289719,1,1
Other Digestive Diseases,TZA,0.0092032,1,1
Other Infectious Diseases,TZA,0.0755774,1,1
Pneumonia,TZA,0.1017071,1,1
Poisonings,TZA,0.0058539,1,1
Road Traffic,TZA,0.0239157,1,1
Sepsis,TZA,0.0029419,1,1
Violent Death,TZA,0.0041322,1,1
AIDS,TZA,0.51012,10,0
Bite of Venomous Animal,TZA,0.0057467,10,0
Diarrhea/Dysentery,TZA,0.0315014,10,0
Drowning,TZA,0.0237644,10,0
Encephalitis,TZA,0.0009209,10,0
Falls,TZA,0.0016151,10,0
Fires,TZA,0.0129151,10,0
Hemorrhagic fever,TZA,0.0004324,10,0
Malaria,TZA,0.0865691,10,0
Measles,TZA,0.0013662,10,0
Meningitis,TZA,0.0082262,10,0
Other Cancers,TZA,0.0282743,10,0
Other Cardiovascular Diseases,TZA,0.0093417,10,0
Other Defined Causes of Child Deaths,TZA,0.1205969,10,0
Other Digestive Diseases,TZA,0.0053718,10,0
Other Infectious Diseases,TZA,0.0762932,10,0
Pneumonia,TZA,0.0218367,10,0
Poisonings,TZA,0.007095,10,0
Road Traffic,TZA,0.0384328,10,0
Sepsis,TZA,0.001874,10,0
Violent Death,TZA,0.0077062,10,0
AIDS,TZA,0.4992905,10,1
Bite of Venomous Animal,TZA,0.0059676,10,1
Diarrhea/Dysentery,TZA,0.0356226,10,1
Drowning,TZA,0.0152619,10,1
Encephalitis,TZA,0.0012247,10,1
Falls,TZA,0.0007388,10,1
Fires,TZA,0.0106012,10,1
Hemorrhagic fever,TZA,0.000281,10,1
Malaria,TZA,0.1282271,10,1
Measles,TZA,0.0017126,10,1
Meningitis,TZA,0.0109397,10,1
Other Cancers,TZA,0.0181591,10,1
Other Cardiovascular Diseases,TZA,0.0129959,10,1
Other Defined Causes of Child Deaths,TZA,0.0951763,10,1
Other Digestive Diseases,TZA,0.005694,10,1
Other Infectious Diseases,TZA,0.0708641,10,1
Pneumonia,TZA,0.0256883,10,1
Poisonings,TZA,0.004338,10,1
Road Traffic,TZA,0.0500037,10,1
Sepsis,TZA,0.0010906,10,1
Violent Death,TZA,0.0061225,10,1
AIDS,TZA,0.0421338,0,0
Bite of Venomous Animal,TZA,0.0010348,0,0
Diarrhea/Dysentery,TZA,0.0807994,0,0
Drowning,TZA,0.0045001,0,0
Encephalitis,TZA,0.0009253,0,0
Falls,TZA,0.0021553,0,0
Fires,TZA,0.0123017,0,0
Hemorrhagic fever,TZA,0.0002909,0,0
