gs_text34,iso3,weight,age,sex
Other Infectious Diseases,ZMB,0.07945531,1,1
Pneumonia,ZMB,0.07322016,1,1
Poisonings,ZMB,0.00508768,1,1
Road Traffic,ZMB,0.00137481,1,1
Sepsis,ZMB,0.00252351,1,1
Violent Death,ZMB,0.00003785,1,1
AIDS,ZMB,0.50024587,10,0
Bite of Venomous Animal,ZMB,0.00013894,10,0
Diarrhea/Dysentery,ZMB,0.02112513,10,0
Drowning,ZMB,0.00277119,10,0
Encephalitis,ZMB,0.00205561,10,0
Falls,ZMB,0.00513101,10,0
Fires,ZMB,0.00041163,10,0
Hemorrhagic fever,ZMB,0.00010593,10,0
Malaria,ZMB,0.22676456,10,0
Measles,ZMB,0.00073452,10,0
Meningitis,ZMB,0.01266359,10,0
Other Cancers,ZMB,0.02808296,10,0
Other Cardiovascular Diseases,ZMB,0.00900577,10,0
Other Defined Causes of Child Deaths,ZMB,0.08058388,10,0
Other Digestive Diseases,ZMB,0.00352968,10,0
Other Infectious Diseases,ZMB,0.08100134,10,0
Pneumonia,ZMB,0.01590504,10,0
Poisonings,ZMB,0.00418775,10,0
Road Traffic,ZMB,0.00387345,10,0
Sepsis,ZMB,0.00158674,10,0
Violent Death,ZMB,0.0000954,10,0
AIDS,ZMB,0.49272604,10,1
Bite of Venomous Animal,ZMB,0.000091,10,1
Diarrhea/Dysentery,ZMB,0.01204214,10,1
Drowning,ZMB,0.00086985,10,1
Encephalitis,ZMB,0.00253355,10,1
Falls,ZMB,0.00146948,10,1
Fires,ZMB,0.00027662,10,1
Hemorrhagic fever,ZMB,0.00006374,10,1
Malaria,ZMB,0.2787589,10,1
Measles,ZMB,0.00083359,10,1
Meningitis,ZMB,0.01560841,10,1
Other Cancers,ZMB,0.01736094,10,1
Other Cardiovascular Diseases,ZMB,0.01242366,10,1
Other Defined Causes of Child Deaths,ZMB,0.06661817,10,1
Other Digestive Diseases,ZMB,0.00298706,10,1
Other Infectious Diseases,ZMB,0.07501129,10,1
Pneumonia,ZMB,0.01143863,10,1
Poisonings,ZMB,0.00418574,10,1
Road Traffic,ZMB,0.00371041,10,1
Sepsis,ZMB,0.0009002,10,1
Violent Death,ZMB,0.00009057,10,1
AIDS,ZMB,0.0572052,0,0
Bite of Venomous Animal,ZMB,0.00001292,0,0
Diarrhea/Dysentery,ZMB,0.17383212,0,0
Drowning,ZMB,0.00033402,0,0
Encephalitis,ZMB,0.00414631,0,0
Falls,ZMB,0.00168089,0,0
Fires,ZMB,0.00038859,0,0
Hemorrhagic fever,ZMB,0.00006758,0,0
Malaria,ZMB,0.22136681,0,0
Measles,ZMB,0.00188092,0,0
Meningitis,ZMB,0.05196508,0,0
Other Cancers,ZMB,0.00257055,0,0
Other Cardiovascular Diseases,ZMB,0.00569191,0,0
Other Defined Causes of Child Deaths,ZMB,0.16713125,0,0
Other Digestive Diseases,ZMB,0,0,0
Other Infectious Diseases,ZMB,0.16020339,0,0
Pneumonia,ZMB,0.1403515,0,0
Poisonings,ZMB,0.00467795,0,0
Road Traffic,ZMB,0.00043125,0,0
Sepsis,ZMB,0.00604327,0,0
Violent Death,ZMB,0.0000185,0,0
AIDS,ZMB,0.06068793,0,1
Bite of Venomous Animal,ZMB,0.00002528,0,1
Diarrhea/Dysentery,ZMB,0.16759056,0,1
Drowning,ZMB,0.00017096,0,1
Encephalitis,ZMB,0.00384112,0,1
Falls,ZMB,0.00081661,0,1
Fires,ZMB,0.00027247,0,1
Hemorrhagic fever,ZMB,0.00003535,0,1
Malaria,ZMB,0.21824775,0,1
Measles,ZMB,0.00186537,0,1
Meningitis,ZMB,0.04814091,0,1
Other Cancers,ZMB,0.0038606,0,1
Other Cardiovascular Diseases,ZMB,0.00683132,0,1
Other Defined Causes of Child Deaths,ZMB,0.17499129,0,1
Other Digestive Diseases,ZMB,0,0,1
Other Infectious Diseases,ZMB,0.15649406,0,1
Pneumonia,ZMB,0.15015098,0,1
Poisonings,ZMB,0.00214942,0,1
Road Traffic,ZMB,0.00057585,0,1
Sepsis,ZMB,0.00323655,0,1
Violent Death,ZMB,0.00001562,0,1
AIDS,ZMB,0.41335703,5,0
Bite of Venomous Animal,ZMB,0.00015427,5,0
Diarrhea/Dysentery,ZMB,0.03980832,5,0
Drowning,ZMB,0.00246268,5,0
Encephalitis,ZMB,0.0018843,5,0
Falls,ZMB,0.00303306,5,0
Fires,ZMB,0.00060244,5,0
Hemorrhagic fever,ZMB,0.00017194,5,0
Malaria,ZMB,0.26543343,5,0
Measles,ZMB,0.0021862,5,0
Meningitis,ZMB,0.01635207,5,0
Other Cancers,ZMB,0.02315244,5,0
Other Cardiovascular Diseases,ZMB,0.00700346,5,0
Other Defined Causes of Child Deaths,ZMB,0.0800812,5,0
Other Digestive Diseases,ZMB,0.00354836,5,0
Other Infectious Diseases,ZMB,0.10940298,5,0
Pneumonia,ZMB,0.02166067,5,0
Poisonings,ZMB,0.00345545,5,0
Road Traffic,ZMB,0.00477894,5,0
Sepsis,ZMB,0.00142467,5,0
Violent Death,ZMB,0.00004612,5,0
AIDS,ZMB,0.41752389,5,1
Bite of Venomous Animal,ZMB,0.00006868,5,1
Diarrhea/Dysentery,ZMB,0.02032064,5,1
Drowning,ZMB,0.0007615,5,1
Encephalitis,ZMB,0.00200193,5,1
Falls,ZMB,0.00136803,5,1
